S.No,College Code,College Name,Category,District,Courses Offered
24,226,P.A.C. RAMASAMY RAJA POLYTECHNIC COLLEGE,,GOVERNMENT AIDED POLYTECHNIC COLLEGES,VIRUDHUNAGAR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
25,227,MOHAMED SATHAK POLYTECHNIC COLLEGE,GOVERNMENT AIDED POLYTECHNIC COLLEGES,RAMANATHAPURAM,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
26,101,CENTRAL POLYTECHNIC COLLEGE,GOVERNMENT,CHENNAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Instrumentation and Control Engineering"
27,102,INSTITUTE OF PRINTING TECHNOLOGY,GOVERNMENT,CHENNAI,"Diploma in Printing Technology"
28,103,INSTITUTE OF CHEMICAL TECHNOLOGY,GOVERNMENT,CHENNAI,"Diploma in Chemical Engineering, Diploma in Petrochemical Technology"
29,104,INSTITUTE OF LEATHER TECHNOLOGY,GOVERNMENT,CHENNAI,"Diploma in Leather Technology, Diploma in Leather Goods Technology"
30,105,INSTITUTE OF TEXTILE TECHNOLOGY,GOVERNMENT,CHENNAI,"Diploma in Textile Technology, Diploma in Textile Processing"
31,106,STATE INSTITUTE OF COMMERCE EDUCATION,GOVERNMENT,CHENNAI,"Diploma in Commercial Practice, Diploma in Modern Office Practice"
32,109,T.P.E.V.R GOVT. POLYTECHNIC COLLEGE,GOVERNMENT,VELLORE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
33,110,GOVERNMENT POLYTECHNIC COLLEGE,GOVERNMENT,KRISHNAGIRI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
34,111,GOVERNMENT POLYTECHNIC COLLEGE,GOVERNMENT,COIMBATORE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
35,112,GOVERNMENT POLYTECHNIC COLLEGE,GOVERNMENT,THE NILGIRIS,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
36,113,GOVERNMENT POLYTECHNIC COLLEGE,GOVERNMENT,PUDUKKOTTAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
37,115,GOVERNMENT POLYTECHNIC COLLEGE,GOVERNMENT,TIRUCHIRAPPALLI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
38,116,GOVERNMENT POLYTECHNIC COLLEGE,GOVERNMENT,MADURAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
39,117,ALAGAPPA POLYTECHNIC COLLEGE,GOVERNMENT,SIVAGANGAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
40,118,GOVERNMENT POLYTECHNIC COLLEGE\, TUTICORIN,GOVERNMENT,THOOTHUKUDI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Part-Time Diploma in Civil Engineering, Part-Time Diploma in Mechanical Engineering, Part-Time Diploma in Electrical and Electronics Engineering"
41,119,GOVERNMENT POLYTECHNIC COLLEGE NAGERCOIL,GOVERNMENT,KANNIYAKUMARI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Biomedical Electronics, Diploma in Renewable Energy Engineering"
42,120,GOVERNMENT POLYTECHNIC COLLEGE\, PURASAWALKAM,GOVERNMENT,CHENNAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Printing Technology"
43,121,GOVERNMENT POLYTECHNIC COLLEGE,GOVERNMENT,MADURAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
44,122,GOVERNMENT POLYTECHNIC COLLEGE,GOVERNMENT,DHARMAPURI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
45,123,GOVERNMENT POLYTECHNIC COLLEGE KARUR,GOVERNMENT,KARUR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
46,124,GOVERNMENT POLYTECHNIC COLLEGE,GOVERNMENT,PERAMBALUR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Internet of Things (IoT), Diploma in Automation and Robotics, Diploma in Digital Manufacturing"
47,125,GOVERNMENT POLYTECHNIC COLLEGE\, TIRUVARUR,GOVERNMENT,THIRUVARUR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
48,126,GOVERNMENT POLYTECHNIC COLLEGE\, THENI,GOVERNMENT,THENI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Internet of Things (IoT), Diploma in Automation and Robotics, Diploma in Digital Manufacturing"
49,127,GOVERNMENT POLYTECHNIC COLLEGE\, THIRUVANNAMALAI,GOVERNMENT,TIRUVANNAMALAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
50,128,GOVERNMENT POLYTECHNIC COLLEGE\, ARAKANDANALLURE,GOVERNMENT,VILLUPURAM,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
51,101,CENTRAL POLYTECHNIC COLLEGE,AUTONOMOUS,CHENNAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Printing Technology"
52,116,TAMILNADU POLYTECHNIC COLLEGE,AUTONOMOUS,MADURAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
53,203,MURUGAPPA POLYTECHNIC COLLEGE,AUTONOMOUS,CHENNAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Mechanical Engineering (Tool & Die), Diploma in Electronics (Robotics)"
54,209,PSG POLYTECHNIC COLLEGE,AUTONOMOUS,COIMBATORE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Automobile Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology, Diploma in Mechatronics Engineering"
55,211,SRI RAMAKRISHNA MISSION VIDYALAYA POLYTECHNIC COLLEGE,AUTONOMOUS,COIMBATORE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
56,212,NACHIMUTHU POLYTECHNIC COLLEGE,AUTONOMOUS,COIMBATORE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Textile Technology"
57,216,THIAGARAJAR POLYTECHNIC COLLEGE,AUTONOMOUS,SALEM,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
58,221,SESHASAYEE INSTITUTE OF TECHNOLOGY,AUTONOMOUS,TIRUCHIRAPPALLI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
59,225,V.S.V.N.POLYTECHNIC COLLEGE\, VIRUDHUNAGAR,AUTONOMOUS,VIRUDHUNAGAR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
60,226,P.A.C. RAMASAMY RAJA POLYTECHNIC COLLEGE\, ,AUTONOMOUS,VIRUDHUNAGAR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
61,229,SANKAR POLYTECHNIC COLLEGE,AUTONOMOUS,TIRUNELVELI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
62,276,PERIYAR CENTENARY POLYTECHNIC COLLEGE,AUTONOMOUS,THANJAVUR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
63,404,GOVERNMENT TECHNICAL TRAINING CENTRE,AFFILIATED,CHENNAI,"Diploma in Technical Teacher Training / Engineering Instructor Training Programmes"
64,405,INSTITUTE OF CERAMIC TECHNOLOGY,AFFILIATED,CUDDALORE,"Diploma in Ceramic Technology"
65,413,INSTITUTE OF TOOL ENGINEERING,AFFILIATED,DINDIGUL,"Diploma in Tool Engineering"
66,416,REGIONAL LABOUR INSTITUTE,AFFILIATED,CHENNAI,"Diploma in Industrial Safety / Labour Welfare and Safety Engineering"
67,301,V.RAMAKRISHNA POLYTECHNIC COLLEGE,SELF FINANCING,THIRUVALLUR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
68,302,MEENAKSHI AMMAL POLYTECHNIC COLLEGE,SELF FINANCING,KANCHIPURAM,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
69,303,SRI NALLALAGHU NADAR POLYTECHNIC COLLEGE,SELF FINANCING,THIRUVALLUR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
70,304,ADHIPARASAKTHI POLYTECHNIC COLLEGE,SELF FINANCING,KANCHIPURAM,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
71,305,ARULMIGU THIRUPURASUNDARI AMMAN POLYTECHNIC COLLEGE,SELF FINANCING,KANCHIPURAM,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
72,306,SRIRAM POLYTECHNIC COLLEGE,SELF FINANCING,THIRUVALLUR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
73,307,VALLIAMMAI POLYTECHNIC COLLEGE,SELF FINANCING,CHENGALPATTU,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
74,309,SAINT MICHAEL'S POLYTECHNIC COLLEGE,SELF FINANCING,TIRUVALLUR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
75,310,MEENAKSHI KRISHNAN POLYTECHNIC COLLEGE,SELF FINANCING,KANCHIPURAM,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
76,311,SWAMY ABEDHANANDHA POLYTECHNIC COLLEGE,SELF FINANCING,THIRUVANNAMALAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
77,312,PANDIYAN POLYTECHNIC COLLEGE,SELF FINANCING,TIRUPATTUR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
78,313,ELUMALAI POLYTECHNIC COLLEGE,SELF FINANCING,VILLUPURAM,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
79,315,SANKARA POLYTECHNIC COLLEGE,SELF FINANCING,COIMBATORE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
80,317,SREE NARAYANA GURU POLYTECHNIC COLLEGE,SELF FINANCING,COIMBATORE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
81,318,NANJIAH LINGAMMAL POLYTECHNIC COLLEGE,SELF FINANCING,COIMBATORE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Textile Technology"
82,319,NANJAPPA POLYTECHNIC COLLEGE,SELF FINANCING,COIMBATORE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
83,320,KONGU POLYTECHNIC COLLEGE,SELF FINANCING,ERODE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Mechatronics Engineering"
84,321,ERODE INST.OF CHEMICAL TECHNOLOGY POLYTECH COLLEGE,SELF FINANCING,NADUPATTI,"Diploma in Chemical Engineering, Diploma in Petrochemical Technology, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering"
85,323,THIRU RAMAKRISHNA NALLAMMAI POLYTECHNIC COLLEGE,SELF FINANCING,TIRUPPUR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
86,324,AL-AMEEN POLYTECHNIC COLLEGE,SELF FINANCING,ERODE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
87,325,ANNAI J.K.K.SAMPOORANI AMMAL POLYTECHNIC COLLEGE,SELF FINANCING,ERODE,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
88,326,THE SALEM POLYTECHNIC COLLEGE,SELF FINANCING,SALEM,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
89,327,MUTHAYAMMAL POLYTECHNIC COLLEGE,SELF FINANCING,NAMAKKAL,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Automobile Engineering"
90,328,K.S.RANGASAMY INSTITUTE OF TECHNOLOGY,SELF FINANCING,NAMAKKAL,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
91,329,CSI POLYTECHNIC COLLEGE,SELF FINANCING,SALEM,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
92,331,SUBRAMANIAN POLYTECHNIC COLLEGE,SELF FINANCING,PUDUKKOTTAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
93,332,A V C POLYTECHNIC COLLEGE,SELF FINANCING,NAGAPATTINAM,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
94,333,SHANMUGHA POLYTECHNIC COLLEGE,SELF FINANCING,THANJAVUR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
95,334,C C M RAMAKRISHNA POLYTECHNIC COLLEGE,SELF FINANCING,THANJAVUR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
96,335,THE KARUR POLYTECHNIC COLLEGE,SELF FINANCING,KARUR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
97,336,THANTHAI ROEVER INSTITUTE OF POLYTECHNIC COLLEGE,SELF FINANCING,PERAMBALUR,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
98,337,M.I.E.T. POLYTECHNIC COLLEGE,SELF FINANCING,TRICHY,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Information Technology"
99,340,K.L.NAGASWAMY MEMORIAL POLYTECHNIC COLLEGE,SELF FINANCING,MADURAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
100,341,RATNAVEL SUBRAMANIAM POLYTECHNIC COLLEGE,SELF FINANCING,DINDIGUL,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering, Diploma in Automobile Engineering"
101,342,THE CHRISTIAN INST. FOR TECH EDN(POLYTECHNIC COLLEGE),SELF FINANCING,DINDIGUL,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
102,343,THANGAM-MUTHU POLYTECHNIC COLLEGE,SELF FINANCING,THENI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
103,344,ARULMIGU KALLALAKAR POLYTECHNIC COLLEGE,SELF FINANCING,MADURAI,"Diploma in Civil Engineering, Diploma in Mechanical Engineering, Diploma in Electrical and Electronics Engineering, Diploma in Electronics and Communication Engineering, Diploma in Computer Engineering"
