Course Name,Category,Level,Duration,Eligibility,Future Scope
B.Tech Electronics and Communication Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Electronics and Communication related industries
B.Tech Electrical Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Electrical related industries
B.Tech Electrical Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Electrical related industries
B.Tech Electrical Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Electrical related industries
B.Tech Electrical Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Electrical related industries
B.Tech Electrical and Electronics Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Electrical and Electronics related industries
B.Tech Electrical and Electronics Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Electrical and Electronics related industries
B.Tech Electrical and Electronics Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Electrical and Electronics related industries
B.Tech Electrical and Electronics Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Electrical and Electronics related industries
B.Tech Mechanical Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Mechanical related industries
B.Tech Mechanical Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Mechanical related industries
B.Tech Mechanical Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Mechanical related industries
B.Tech Mechanical Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Mechanical related industries
B.Tech Civil Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Civil related industries
B.Tech Civil Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Civil related industries
B.Tech Civil Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Civil related industries
B.Tech Civil Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Civil related industries
B.Tech Chemical Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Chemical related industries
B.Tech Chemical Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Chemical related industries
B.Tech Chemical Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Chemical related industries
B.Tech Chemical Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Chemical related industries
B.Tech Aerospace Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Aerospace related industries
B.Tech Aerospace Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Aerospace related industries
B.Tech Aerospace Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Aerospace related industries
B.Tech Aerospace Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Aerospace related industries
B.Tech Aeronautical Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Aeronautical related industries
B.Tech Aeronautical Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Aeronautical related industries
B.Tech Aeronautical Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Aeronautical related industries
B.Tech Aeronautical Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Aeronautical related industries
B.Tech Automobile Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Automobile related industries
B.Tech Automobile Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Automobile related industries
B.Tech Automobile Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Automobile related industries
B.Tech Automobile Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Automobile related industries
B.Tech Biomedical Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Biomedical related industries
B.Tech Biomedical Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Biomedical related industries
B.Tech Biomedical Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Biomedical related industries
B.Tech Biomedical Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Biomedical related industries
B.Tech Biotechnology Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Biotechnology related industries
B.Tech Biotechnology Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Biotechnology related industries
B.Tech Biotechnology Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Biotechnology related industries
B.Tech Biotechnology Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Biotechnology related industries
B.Tech Environmental Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Environmental related industries
B.Tech Environmental Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Environmental related industries
B.Tech Environmental Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Environmental related industries
B.Tech Environmental Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Environmental related industries
B.Tech Industrial Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Industrial related industries
B.Tech Industrial Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Industrial related industries
B.Tech Industrial Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Industrial related industries
B.Tech Industrial Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Industrial related industries
B.Tech Production Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Production related industries
B.Tech Production Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Production related industries
B.Tech Production Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Production related industries
B.Tech Production Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Production related industries
B.Tech Manufacturing Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Manufacturing related industries
B.Tech Manufacturing Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Manufacturing related industries
B.Tech Manufacturing Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Manufacturing related industries
B.Tech Manufacturing Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Manufacturing related industries
B.Tech Petroleum Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Petroleum related industries
B.Tech Petroleum Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Petroleum related industries
B.Tech Petroleum Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Petroleum related industries
B.Tech Petroleum Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Petroleum related industries
B.Tech Mining Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Mining related industries
B.Tech Mining Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Mining related industries
B.Tech Mining Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Mining related industries
B.Tech Mining Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Mining related industries
B.Tech Marine Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Marine related industries
B.Tech Marine Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Marine related industries
B.Tech Marine Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Marine related industries
B.Tech Marine Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Marine related industries
B.Tech Naval Architecture Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Naval Architecture related industries
B.Tech Naval Architecture Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Naval Architecture related industries
B.Tech Naval Architecture Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Naval Architecture related industries
B.Tech Naval Architecture Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Naval Architecture related industries
B.Tech Agricultural Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Agricultural related industries
B.Tech Agricultural Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Agricultural related industries
B.Tech Agricultural Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Agricultural related industries
B.Tech Agricultural Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Agricultural related industries
B.Tech Food Technology Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Food Technology related industries
B.Tech Food Technology Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Food Technology related industries
B.Tech Food Technology Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Food Technology related industries
B.Tech Food Technology Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Food Technology related industries
B.Tech Textile Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Textile related industries
B.Tech Textile Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Textile related industries
B.Tech Textile Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Textile related industries
B.Tech Textile Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Textile related industries
B.Tech Metallurgical Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Metallurgical related industries
B.Tech Metallurgical Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Metallurgical related industries
B.Tech Metallurgical Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Metallurgical related industries
B.Tech Metallurgical Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Metallurgical related industries
B.Tech Materials Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Materials related industries
B.Tech Materials Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Materials related industries
B.Tech Materials Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Materials related industries
B.Tech Materials Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Materials related industries
B.Tech Nanotechnology Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Nanotechnology related industries
B.Tech Nanotechnology Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Nanotechnology related industries
B.Tech Nanotechnology Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Nanotechnology related industries
B.Tech Nanotechnology Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Nanotechnology related industries
B.Tech Energy Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Energy related industries
B.Tech Energy Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Energy related industries
B.Tech Energy Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Energy related industries
B.Tech Energy Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Energy related industries
B.Tech Renewable Energy Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Renewable Energy related industries
B.Tech Renewable Energy Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Renewable Energy related industries
B.Tech Renewable Energy Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Renewable Energy related industries
B.Tech Renewable Energy Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Renewable Energy related industries
B.Tech Nuclear Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Nuclear related industries
B.Tech Nuclear Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Nuclear related industries
B.Tech Nuclear Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Nuclear related industries
B.Tech Nuclear Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Nuclear related industries
B.Tech Space Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Space related industries
B.Tech Space Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Space related industries
B.Tech Space Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Space related industries
B.Tech Space Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Space related industries
B.Tech Photonics Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Photonics related industries
B.Tech Photonics Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Photonics related industries
B.Tech Photonics Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Photonics related industries
B.Tech Photonics Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Photonics related industries
B.Tech Optical Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Optical related industries
B.Tech Optical Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Optical related industries
B.Tech Optical Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Optical related industries
B.Tech Optical Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Optical related industries
B.Tech Control Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Control Systems related industries
B.Tech Control Systems Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Control Systems related industries
B.Tech Control Systems Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Control Systems related industries
B.Tech Control Systems Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Control Systems related industries
B.Tech Instrumentation Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Instrumentation related industries
B.Tech Instrumentation Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Instrumentation related industries
B.Tech Instrumentation Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Instrumentation related industries
B.Tech Instrumentation Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Instrumentation related industries
B.Tech Telecommunication Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Telecommunication related industries
B.Tech Telecommunication Engineering Technology,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Telecommunication related industries
B.Tech Telecommunication Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Telecommunication related industries
B.Tech Telecommunication Advanced Engineering,Engineering,12th,4 Years,10+2 with PCM + Entrance Exam,Engineer roles in Telecommunication related industries
MBBS,Medical,12th,3-5 Years,10+2 PCB,Healthcare professional roles
MBBS,Medical,Undergraduate,3-5 Years,10+2 PCB,Healthcare professional roles
MBBS,Medical,Diploma,3-5 Years,10+2 PCB,Healthcare professional roles
BDS,Medical,12th,3-5 Years,10+2 PCB,Healthcare professional roles
BDS,Medical,Undergraduate,3-5 Years,10+2 PCB,Healthcare professional roles
BDS,Medical,Diploma,3-5 Years,10+2 PCB,Healthcare professional roles
BAMS,Medical,12th,3-5 Years,10+2 PCB,Healthcare professional roles
BAMS,Medical,Undergraduate,3-5 Years,10+2 PCB,Healthcare professional roles
BAMS,Medical,Diploma,3-5 Years,10+2 PCB,Healthcare professional roles
BHMS,Medical,12th,3-5 Years,10+2 PCB,Healthcare professional roles
BHMS,Medical,Undergraduate,3-5 Years,10+2 PCB,Healthcare professional roles
BHMS,Medical,Diploma,3-5 Years,10+2 PCB,Healthcare professional roles
BUMS,Medical,12th,3-5 Years,10+2 PCB,Healthcare professional roles
BUMS,Medical,Undergraduate,3-5 Years,10+2 PCB,Healthcare professional roles
BUMS,Medical,Diploma,3-5 Years,10+2 PCB,Healthcare professional roles
BSMS,Medical,12th,3-5 Years,10+2 PCB,Healthcare professional roles
BSMS,Medical,Undergraduate,3-5 Years,10+2 PCB,Healthcare professional roles
BSMS,Medical,Diploma,3-5 Years,10+2 PCB,Healthcare professional roles
BPT,Medical,12th,3-5 Years,10+2 PCB,Healthcare professional roles
BPT,Medical,Undergraduate,3-5 Years,10+2 PCB,Healthcare professional roles
BPT,Medical,Diploma,3-5 Years,10+2 PCB,Healthcare professional roles
BOT,Medical,12th,3-5 Years,10+2 PCB,Healthcare professional roles
BOT,Medical,Undergraduate,3-5 Years,10+2 PCB,Healthcare professional roles
BOT,Medical,Diploma,3-5 Years,10+2 PCB,Healthcare professional roles
BSc Nursing,Medical,12th,3-5 Years,10+2 PCB,Healthcare professional roles
BSc Nursing,Medical,Undergraduate,3-5 Years,10+2 PCB,Healthcare professional roles
BSc Nursing,Medical,Diploma,3-5 Years,10+2 PCB,Healthcare professional roles
BPharm,Medical,12th,3-5 Years,10+2 PCB,Healthcare professional roles
BPharm,Medical,Undergraduate,3-5 Years,10+2 PCB,Healthcare professional roles
BPharm,Medical,Diploma,3-5 Years,10+2 PCB,Healthcare professional roles
PharmD,Medical,12th,3-5 Years,10+2 PCB,Healthcare professional roles
PharmD,Medical,Undergraduate,3-5 Years,10+2 PCB,Healthcare professional roles
PharmD,Medical,Diploma,3-5 Years,10+2 PCB,Healthcare professional roles
BSc Radiology,Medical,12th,3-5 Years,10+2 PCB,Healthcare professional roles
BSc Radiology,Medical,Undergraduate,3-5 Years,10+2 PCB,Healthcare professional roles
