Course Name,Category,Level,Duration,Eligibility,Future Scope
Environmental Engineering,Engineering,Diploma,4 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Industrial Engineering,Engineering,12th,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Production Engineering,Engineering,Postgraduate,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Petroleum Engineering,Engineering,Diploma,2 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Mining Engineering,Engineering,Undergraduate,2 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Marine Engineering,Engineering,Diploma,2 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Naval Architecture,Engineering,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Agricultural Engineering,Engineering,Undergraduate,2 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Food Technology,Engineering,Undergraduate,2 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Textile Engineering,Engineering,Diploma,5 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Metallurgical Engineering,Engineering,Postgraduate,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Materials Engineering,Engineering,10th,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
BSc Physics,Science,Diploma,5 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Chemistry,Science,Postgraduate,4 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Mathematics,Science,Diploma,2 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Statistics,Science,12th,4 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Zoology,Science,Diploma,5 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Botany,Science,12th,2 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Environmental Science,Science,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Geology,Science,Postgraduate,3 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Astrophysics,Science,Postgraduate,2 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Biochemistry,Science,12th,4 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Genetics,Science,Diploma,1 Year,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Marine Biology,Science,10th,1 Year,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Applied Physics,Science,10th,3 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BCom General,Commerce,10th,2 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
BCom Accounting,Commerce,Undergraduate,1 Year,10+2 with relevant subjects,Career opportunities in Commerce related industries
BCom Finance,Commerce,12th,3 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
BCom Banking,Commerce,12th,4 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
BBA,Commerce,10th,4 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
BBA Finance,Commerce,Diploma,4 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
BBA Marketing,Commerce,Diploma,1 Year,10+2 with relevant subjects,Career opportunities in Commerce related industries
BBA HR,Commerce,Undergraduate,2 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
BBA International Business,Commerce,10th,5 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
Chartered Accountant,Commerce,Diploma,5 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
Company Secretary,Commerce,Undergraduate,4 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
Cost and Management Accounting,Commerce,10th,3 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
BA English,Arts,10th,4 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
BA History,Arts,Undergraduate,5 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
BA Sociology,Arts,12th,5 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
BA Political Science,Arts,Undergraduate,2 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
BA Economics,Arts,Diploma,5 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
BA Philosophy,Arts,12th,5 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
BA Psychology,Arts,10th,3 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
BA Public Administration,Arts,12th,5 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
BA Anthropology,Arts,12th,3 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
BA Linguistics,Arts,10th,4 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
BA Geography,Arts,10th,5 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
Fashion Design,Design,Diploma,1 Year,10+2 with relevant subjects,Career opportunities in Design related industries
Graphic Design,Design,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Design related industries
Interior Design,Design,Postgraduate,5 Years,10+2 with relevant subjects,Career opportunities in Design related industries
Product Design,Design,Undergraduate,5 Years,10+2 with relevant subjects,Career opportunities in Design related industries
Animation,Design,Undergraduate,4 Years,10+2 with relevant subjects,Career opportunities in Design related industries
Game Design,Design,10th,2 Years,10+2 with relevant subjects,Career opportunities in Design related industries
UX Design,Design,Undergraduate,4 Years,10+2 with relevant subjects,Career opportunities in Design related industries
Visual Communication Design,Design,12th,2 Years,10+2 with relevant subjects,Career opportunities in Design related industries
Industrial Design,Design,10th,1 Year,10+2 with relevant subjects,Career opportunities in Design related industries
LLB,Law,10th,2 Years,10+2 with relevant subjects,Career opportunities in Law related industries
BA LLB,Law,12th,3 Years,10+2 with relevant subjects,Career opportunities in Law related industries
BBA LLB,Law,Undergraduate,3 Years,10+2 with relevant subjects,Career opportunities in Law related industries
BCom LLB,Law,10th,2 Years,10+2 with relevant subjects,Career opportunities in Law related industries
LLM,Law,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Law related industries
Cyber Law,Law,Undergraduate,4 Years,10+2 with relevant subjects,Career opportunities in Law related industries
Corporate Law,Law,Undergraduate,4 Years,10+2 with relevant subjects,Career opportunities in Law related industries
Criminal Law,Law,Diploma,1 Year,10+2 with relevant subjects,Career opportunities in Law related industries
BSc Agriculture,Agriculture,Postgraduate,1 Year,10+2 with relevant subjects,Career opportunities in Agriculture related industries
BSc Horticulture,Agriculture,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Agriculture related industries
BSc Forestry,Agriculture,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Agriculture related industries
BSc Agronomy,Agriculture,Postgraduate,4 Years,10+2 with relevant subjects,Career opportunities in Agriculture related industries
BSc Plant Pathology,Agriculture,Diploma,4 Years,10+2 with relevant subjects,Career opportunities in Agriculture related industries
BSc Soil Science,Agriculture,10th,3 Years,10+2 with relevant subjects,Career opportunities in Agriculture related industries
BSc Agricultural Economics,Agriculture,Diploma,4 Years,10+2 with relevant subjects,Career opportunities in Agriculture related industries
BSc Dairy Technology,Agriculture,Postgraduate,3 Years,10+2 with relevant subjects,Career opportunities in Agriculture related industries
Hotel Management,Hospitality,10th,5 Years,10+2 with relevant subjects,Career opportunities in Hospitality related industries
Culinary Arts,Hospitality,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Hospitality related industries
Hospitality Management,Hospitality,10th,5 Years,10+2 with relevant subjects,Career opportunities in Hospitality related industries
Tourism Management,Hospitality,Postgraduate,4 Years,10+2 with relevant subjects,Career opportunities in Hospitality related industries
Travel and Tourism,Hospitality,Postgraduate,5 Years,10+2 with relevant subjects,Career opportunities in Hospitality related industries
Food and Beverage Management,Hospitality,Diploma,1 Year,10+2 with relevant subjects,Career opportunities in Hospitality related industries
Diploma Mechanical,Polytechnic,Postgraduate,5 Years,10+2 with relevant subjects,Career opportunities in Polytechnic related industries
Diploma Civil,Polytechnic,Undergraduate,3 Years,10+2 with relevant subjects,Career opportunities in Polytechnic related industries
Diploma Electrical,Polytechnic,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Polytechnic related industries
Diploma Computer Engineering,Polytechnic,Postgraduate,5 Years,10+2 with relevant subjects,Career opportunities in Polytechnic related industries
Diploma Automobile,Polytechnic,Postgraduate,2 Years,10+2 with relevant subjects,Career opportunities in Polytechnic related industries
Diploma Electronics,Polytechnic,Undergraduate,3 Years,10+2 with relevant subjects,Career opportunities in Polytechnic related industries
Diploma Mechatronics,Polytechnic,Postgraduate,4 Years,10+2 with relevant subjects,Career opportunities in Polytechnic related industries
Diploma Chemical,Polytechnic,12th,2 Years,10+2 with relevant subjects,Career opportunities in Polytechnic related industries
ITI Electrician,ITI,12th,4 Years,10+2 with relevant subjects,Career opportunities in ITI related industries
ITI Fitter,ITI,10th,5 Years,10+2 with relevant subjects,Career opportunities in ITI related industries
ITI Welder,ITI,Postgraduate,1 Year,10+2 with relevant subjects,Career opportunities in ITI related industries
ITI Plumber,ITI,Diploma,5 Years,10+2 with relevant subjects,Career opportunities in ITI related industries
ITI Carpenter,ITI,Diploma,5 Years,10+2 with relevant subjects,Career opportunities in ITI related industries
ITI Mechanic,ITI,12th,2 Years,10+2 with relevant subjects,Career opportunities in ITI related industries
ITI Turner,ITI,12th,5 Years,10+2 with relevant subjects,Career opportunities in ITI related industries
ITI Machinist,ITI,10th,1 Year,10+2 with relevant subjects,Career opportunities in ITI related industries
ITI Refrigeration and AC,ITI,Diploma,1 Year,10+2 with relevant subjects,Career opportunities in ITI related industries
MBBS,Medical,Postgraduate,1 Year,10+2 with relevant subjects,Career opportunities in Medical related industries
BDS,Medical,Diploma,2 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BAMS,Medical,Diploma,2 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BHMS,Medical,12th,4 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BUMS,Medical,10th,4 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSMS,Medical,Diploma,2 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BPT,Medical,12th,1 Year,10+2 with relevant subjects,Career opportunities in Medical related industries
BOT,Medical,Undergraduate,5 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Nursing,Medical,12th,2 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BPharm,Medical,Postgraduate,1 Year,10+2 with relevant subjects,Career opportunities in Medical related industries
PharmD,Medical,Postgraduate,3 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Radiology,Medical,Diploma,1 Year,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Medical Lab Technology,Medical,Postgraduate,3 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Dialysis Technology,Medical,Undergraduate,1 Year,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Optometry,Medical,10th,5 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Cardiac Technology,Medical,10th,5 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Respiratory Therapy,Medical,12th,1 Year,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Anesthesia Technology,Medical,Diploma,4 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Nutrition and Dietetics,Medical,Postgraduate,3 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Public Health,Medical,12th,4 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Biotechnology,Medical,Diploma,1 Year,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Microbiology,Medical,10th,4 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
Computer Science Engineering,Engineering,10th,5 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Information Technology,Engineering,12th,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Artificial Intelligence,Engineering,Undergraduate,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Artificial Intelligence & Machine Learning,Engineering,10th,2 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Data Science,Engineering,Diploma,4 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Cyber Security,Engineering,Undergraduate,2 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Software Engineering,Engineering,Diploma,5 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Cloud Computing,Engineering,Undergraduate,3 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Internet of Things,Engineering,Diploma,4 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Mechanical Engineering,Engineering,Diploma,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Civil Engineering,Engineering,10th,5 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Electrical Engineering,Engineering,Diploma,2 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Electrical & Electronics Engineering,Engineering,Diploma,2 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Electronics & Communication Engineering,Engineering,12th,2 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Chemical Engineering,Engineering,12th,4 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Aerospace Engineering,Engineering,Undergraduate,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Aeronautical Engineering,Engineering,12th,4 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Automobile Engineering,Engineering,12th,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Robotics Engineering,Engineering,Undergraduate,3 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Mechatronics Engineering,Engineering,Undergraduate,5 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Biomedical Engineering,Engineering,12th,5 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Environmental Engineering,Engineering,12th,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Industrial Engineering,Engineering,Undergraduate,2 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Production Engineering,Engineering,Diploma,4 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Petroleum Engineering,Engineering,Undergraduate,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Mining Engineering,Engineering,Diploma,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Marine Engineering,Engineering,Diploma,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Naval Architecture,Engineering,Postgraduate,4 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Agricultural Engineering,Engineering,12th,3 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Food Technology,Engineering,Postgraduate,5 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Textile Engineering,Engineering,10th,5 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Metallurgical Engineering,Engineering,10th,3 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Materials Engineering,Engineering,10th,4 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
BSc Physics,Science,Diploma,1 Year,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Chemistry,Science,Undergraduate,3 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Mathematics,Science,Undergraduate,2 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Statistics,Science,10th,5 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Zoology,Science,10th,5 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Botany,Science,Diploma,5 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Environmental Science,Science,Postgraduate,4 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Geology,Science,12th,3 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Astrophysics,Science,Diploma,2 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Biochemistry,Science,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Genetics,Science,Undergraduate,5 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Marine Biology,Science,12th,4 Years,10+2 with relevant subjects,Career opportunities in Science related industries
BSc Applied Physics,Science,Postgraduate,1 Year,10+2 with relevant subjects,Career opportunities in Science related industries
BCom General,Commerce,Postgraduate,2 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
BCom Accounting,Commerce,Postgraduate,4 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
BCom Finance,Commerce,Postgraduate,2 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
BCom Banking,Commerce,12th,1 Year,10+2 with relevant subjects,Career opportunities in Commerce related industries
BBA,Commerce,10th,4 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
BBA Finance,Commerce,12th,2 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
BBA Marketing,Commerce,Undergraduate,3 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
BBA HR,Commerce,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
BBA International Business,Commerce,Diploma,5 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
Chartered Accountant,Commerce,Postgraduate,2 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
Company Secretary,Commerce,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
Cost and Management Accounting,Commerce,12th,4 Years,10+2 with relevant subjects,Career opportunities in Commerce related industries
BA English,Arts,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
BA History,Arts,Postgraduate,1 Year,10+2 with relevant subjects,Career opportunities in Arts related industries
BA Sociology,Arts,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
BA Political Science,Arts,Diploma,2 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
BA Economics,Arts,10th,4 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
BA Philosophy,Arts,Postgraduate,3 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
BA Psychology,Arts,10th,4 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
BA Public Administration,Arts,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
BA Anthropology,Arts,Diploma,1 Year,10+2 with relevant subjects,Career opportunities in Arts related industries
BA Linguistics,Arts,Diploma,5 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
BA Geography,Arts,12th,4 Years,10+2 with relevant subjects,Career opportunities in Arts related industries
Fashion Design,Design,Postgraduate,4 Years,10+2 with relevant subjects,Career opportunities in Design related industries
Graphic Design,Design,Postgraduate,5 Years,10+2 with relevant subjects,Career opportunities in Design related industries
Interior Design,Design,10th,1 Year,10+2 with relevant subjects,Career opportunities in Design related industries
Product Design,Design,12th,5 Years,10+2 with relevant subjects,Career opportunities in Design related industries
Animation,Design,10th,5 Years,10+2 with relevant subjects,Career opportunities in Design related industries
Game Design,Design,Undergraduate,4 Years,10+2 with relevant subjects,Career opportunities in Design related industries
UX Design,Design,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Design related industries
Visual Communication Design,Design,Diploma,4 Years,10+2 with relevant subjects,Career opportunities in Design related industries
Industrial Design,Design,10th,3 Years,10+2 with relevant subjects,Career opportunities in Design related industries
LLB,Law,12th,4 Years,10+2 with relevant subjects,Career opportunities in Law related industries
BA LLB,Law,Postgraduate,3 Years,10+2 with relevant subjects,Career opportunities in Law related industries
BBA LLB,Law,Postgraduate,5 Years,10+2 with relevant subjects,Career opportunities in Law related industries
BCom LLB,Law,12th,2 Years,10+2 with relevant subjects,Career opportunities in Law related industries
LLM,Law,Postgraduate,4 Years,10+2 with relevant subjects,Career opportunities in Law related industries
Cyber Law,Law,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Law related industries
Corporate Law,Law,Diploma,2 Years,10+2 with relevant subjects,Career opportunities in Law related industries
Criminal Law,Law,Postgraduate,1 Year,10+2 with relevant subjects,Career opportunities in Law related industries
BSc Agriculture,Agriculture,Diploma,5 Years,10+2 with relevant subjects,Career opportunities in Agriculture related industries
BSc Horticulture,Agriculture,Diploma,5 Years,10+2 with relevant subjects,Career opportunities in Agriculture related industries
BSc Forestry,Agriculture,Undergraduate,4 Years,10+2 with relevant subjects,Career opportunities in Agriculture related industries
BSc Agronomy,Agriculture,Undergraduate,5 Years,10+2 with relevant subjects,Career opportunities in Agriculture related industries
BSc Plant Pathology,Agriculture,10th,5 Years,10+2 with relevant subjects,Career opportunities in Agriculture related industries
BSc Soil Science,Agriculture,Undergraduate,1 Year,10+2 with relevant subjects,Career opportunities in Agriculture related industries
BSc Agricultural Economics,Agriculture,12th,5 Years,10+2 with relevant subjects,Career opportunities in Agriculture related industries
BSc Dairy Technology,Agriculture,Postgraduate,4 Years,10+2 with relevant subjects,Career opportunities in Agriculture related industries
Hotel Management,Hospitality,Undergraduate,3 Years,10+2 with relevant subjects,Career opportunities in Hospitality related industries
Culinary Arts,Hospitality,10th,3 Years,10+2 with relevant subjects,Career opportunities in Hospitality related industries
Hospitality Management,Hospitality,Undergraduate,4 Years,10+2 with relevant subjects,Career opportunities in Hospitality related industries
Tourism Management,Hospitality,12th,3 Years,10+2 with relevant subjects,Career opportunities in Hospitality related industries
Travel and Tourism,Hospitality,Postgraduate,5 Years,10+2 with relevant subjects,Career opportunities in Hospitality related industries
Food and Beverage Management,Hospitality,Diploma,4 Years,10+2 with relevant subjects,Career opportunities in Hospitality related industries
Diploma Mechanical,Polytechnic,12th,3 Years,10+2 with relevant subjects,Career opportunities in Polytechnic related industries
Diploma Civil,Polytechnic,10th,1 Year,10+2 with relevant subjects,Career opportunities in Polytechnic related industries
Diploma Electrical,Polytechnic,Undergraduate,1 Year,10+2 with relevant subjects,Career opportunities in Polytechnic related industries
Diploma Computer Engineering,Polytechnic,10th,5 Years,10+2 with relevant subjects,Career opportunities in Polytechnic related industries
Diploma Automobile,Polytechnic,Undergraduate,3 Years,10+2 with relevant subjects,Career opportunities in Polytechnic related industries
Diploma Electronics,Polytechnic,Postgraduate,5 Years,10+2 with relevant subjects,Career opportunities in Polytechnic related industries
Diploma Mechatronics,Polytechnic,Postgraduate,5 Years,10+2 with relevant subjects,Career opportunities in Polytechnic related industries
Diploma Chemical,Polytechnic,Undergraduate,3 Years,10+2 with relevant subjects,Career opportunities in Polytechnic related industries
ITI Electrician,ITI,Diploma,1 Year,10+2 with relevant subjects,Career opportunities in ITI related industries
ITI Fitter,ITI,12th,3 Years,10+2 with relevant subjects,Career opportunities in ITI related industries
ITI Welder,ITI,Postgraduate,5 Years,10+2 with relevant subjects,Career opportunities in ITI related industries
ITI Plumber,ITI,12th,2 Years,10+2 with relevant subjects,Career opportunities in ITI related industries
ITI Carpenter,ITI,12th,3 Years,10+2 with relevant subjects,Career opportunities in ITI related industries
ITI Mechanic,ITI,10th,4 Years,10+2 with relevant subjects,Career opportunities in ITI related industries
ITI Turner,ITI,12th,3 Years,10+2 with relevant subjects,Career opportunities in ITI related industries
ITI Machinist,ITI,10th,5 Years,10+2 with relevant subjects,Career opportunities in ITI related industries
ITI Refrigeration and AC,ITI,Undergraduate,1 Year,10+2 with relevant subjects,Career opportunities in ITI related industries
MBBS,Medical,Undergraduate,5 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BDS,Medical,Postgraduate,4 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BAMS,Medical,10th,5 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BHMS,Medical,Postgraduate,4 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BUMS,Medical,Postgraduate,5 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSMS,Medical,12th,4 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
